iter	Passed	Remaining
163	420	2143
164	421	2134
165	422	2125
166	424	2115
167	425	2107
168	426	2098
169	428	2090
170	429	2081
171	430	2073
172	431	2064
173	434	2062
174	435	2055
175	437	2046
176	438	2038
177	439	2030
178	441	2023
179	442	2015
180	443	2007
181	444	1999
182	446	1991
183	447	1984
184	450	1983
185	451	1976
186	452	1969
187	454	1963
188	456	1957
189	457	1950
190	458	1943
191	460	1937
192	461	1930
193	462	1923
194	465	1922
195	466	1915
196	468	1908
197	469	1901
198	470	1894
199	471	1887
200	473	1881
201	474	1874
202	475	1868
203	477	1861
204	478	1856
205	480	1852
206	481	1846
207	483	1839
208	484	1833
209	485	1826
210	486	1820
211	488	1814
212	489	1808
213	490	1802
214	491	1796
215	494	1794
216	495	1789
217	497	1783
218	498	1779
219	500	1773
220	501	1768
221	503	1763
222	505	1760
223	507	1758
224	510	1759
225	512	1754
226	513	1749
227	514	1743
228	516	1738
229	518	1736
230	520	1731
231	521	1726
232	522	1721
233	526	1721
234	527	1717
235	529	1712
236	530	1707
237	531	1702
238	533	1697
239	534	1692
240	535	1687
241	537	1683
242	540	1682
243	541	1678
244	542	1673
245	544	1668
246	545	1663
247	547	1658
248	548	1654
249	549	1649
250	551	1646
251	554	1645
252	555	1641
253	557	1636
254	558	1632
255	560	1628
256	561	1623
257	562	1619
258	564	1614
259	565	1609
260	567	1605
261	571	1610
262	573	1607
263	574	1603
264	576	1598
265	577	1593
266	578	1589
267	580	1584
268	581	1580
269	586	1586
270	588	1582
271	589	1578
272	591	1574
273	592	1570
274	593	1565
275	595	1561
276	596	1558
277	600	1559
278	602	1557
279	604	1553
280	605	1548
281	606	1544
282	607	1540
283	609	1535
284	610	1531
285	611	1526
286	614	1526
287	616	1525
288	618	1521
289	619	1517
290	621	1513
291	622	1509
292	623	1505
293	625	1501
294	626	1497
295	630	1498
296	631	1495
297	633	1491
298	634	1488
299	636	1485
300	637	1481
301	639	1477
302	640	1473
303	641	1469
304	646	1472
305	647	1468
306	648	1464
307	650	1461
308	652	1458
309	653	1454
310	654	1450
311	655	1446
312	657	1442
313	661	1444
314	662	1441
315	664	1437
316	665	1434
317	667	1430
318	668	1428
319	670	1424
320	671	1420
321	674	1419
322	676	1418
323	677	1414
324	679	1411
325	680	1407
326	682	1404
327	683	1401
328	685	1397
329	686	1393
330	687	1390
331	690	1389
332	692	1386
333	693	1382
334	695	1379
335	696	1376
336	697	1373
337	699	1369
338	700	1366
339	703	1365
340	705	1364
341	707	1360
342	708	1357
343	710	1354
344	711	1351
345	713	1348
346	714	1344
347	715	1340
348	718	1340
349	720	1338
350	722	1335
351	723	1331
352	725	1328
353	726	1325
354	727	1321
355	728	1318
356	730	1315
357	731	1311
358	735	1312
359	736	1309
360	737	1305
361	739	1302
362	740	1299
363	741	1295
364	742	1292
365	744	1288
366	745	1285
367	746	1282
368	748	1280
369	749	1276
370	751	1273
371	752	1270
372	753	1266
373	754	1263
374	756	1260
375	757	1256
376	758	1253
377	759	1250
378	762	1250
379	764	1246
380	765	1243
381	766	1240
382	768	1237
383	769	1234
384	770	1230
385	771	1227
386	773	1224
387	774	1221
388	776	1220
389	778	1217
390	779	1214
391	781	1212
392	782	1209
393	784	1206
394	785	1203
395	787	1200
396	788	1197
397	789	1194
398	792	1193
399	793	1190
400	795	1187
401	796	1184
402	797	1181
403	798	1178
404	800	1175
405	801	1172
406	802	1169
407	803	1166
408	804	1163
409	807	1162
410	809	1159
411	810	1157
412	812	1154
413	813	1151
414	814	1148
415	815	1145
416	817	1142
417	818	1139
418	819	1136
419	822	1135
420	823	1132
421	824	1129
422	826	1126
423	827	1123
424	828	1120
425	829	1118
426	830	1115
427	832	1112
428	833	1109
429	834	1106
430	837	1105
431	838	1102
432	839	1099
433	841	1097
434	842	1094
435	843	1091
436	844	1088
437	846	1085
438	847	1082
439	848	1079
440	849	1077
441	852	1076
442	854	1073
443	855	1071
444	856	1068
445	857	1065
446	858	1062
447	860	1059
448	861	1057
449	862	1054
450	863	1051
451	865	1048
452	867	1047
453	869	1045
454	871	1043
